Categoria_Participante,Contribuicao_Link,Contribuicoes_N/A,Contribuicoes_N/C,Contribuicoes_N/D,Contribuicoes_Nao,Contribuicoes_Numero,Contribuicoes_Parcialmente,Contribuicoes_Sim,Estatal,ID_Interno,Link Resultado,Link_Anexo_1,Link_Anexo_2,Link_Anexo_3,Link_Anexo_4,PF_Vinculado_Ocupacao,Personalidade,Pontos_de_Atencao_para_o_Regulacao_em_Numeros_Contribuicoes,Quem,Sub_sub_subcategoria_Participante,Sub_subcategoria_Participante,Subcategoria_Participante
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=30,,,,,2,,2.0,Sim,ANA_2011_Audiência Pública nº 001/2011_1,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=30,,,,,Luiz Claudio de Freitas (N/A),PJ,,Controladoria-Geral da União,,,Órgão de controle
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=30,,,,,1,,1.0,Sim,ANA_2011_Audiência Pública nº 001/2011_1,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=30,,,,,Sergio Gustavo Rezende Leal (N/A),PJ,,IGAM (Instituto Mineiro de Gestão das Águas),,Estadual,Entidade do poder executivo
Órgãos intersetoriais,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=30,,,,,3,,3.0,Não,ANA_2011_Audiência Pública nº 001/2011_1,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=30,,,,,Giovana Cândido Chagas (N/A),PJ,,AGEVAP (Associação Pró-Gestão das Águas da Bacia Hidrográfica do Rio Paraíba do Sul),,,Entidade implementadora da política
Outros,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=31,,,,4.0,4,,,Não,ANA_2011_Audiência Pública nº 002/2011_2,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=31,,,,,Wilson Teixeira Moreira (N/A),PJ,,Wilson Teixeira Consultoria Ltda.,,,Consultoria
N/D,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=31,,,,1.0,1,,,N/D,ANA_2011_Audiência Pública nº 002/2011_2,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=31,,,,,José Mário Q. Mafra (N/A),N/D,"Dúvida sobre quais são os interesses representados pelo contribuinte, já que no campo instituição do formulário foi inserido ""não informado"".",N/D,N/D,N/D,N/D
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=31,,,,,2,,2.0,Sim,ANA_2011_Audiência Pública nº 002/2011_2,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=31,,,,,Maria Quiteria Castro (N/A),PJ,,INEMA/BA (Intituto do Meio Ambiente e de Recursos Hídricos),,Estadual,Entidade do poder executivo
N/C,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=31,,,,1.0,1,,,N/C,ANA_2011_Audiência Pública nº 002/2011_2,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=31,,,,,N/D,N/C,,www.lageadoconstrutora.com.br,N/C,N/C,N/C
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=31,1.0,,,1.0,2,,,Sim,ANA_2011_Audiência Pública nº 002/2011_2,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=31,,,,,Iris Moreira de Freitas (N/A),PJ,"O aproveitamento de uma das contribuições realizadas foi ""não recomendada"", pois segundo a Agência se tratava de contribuição repetida, para fins da análise foi considerada como ""N/A"".",FURNAS (Furnas Centrais Elétricas S.A),,,Hidrelétrica
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=31,1.0,,,,1,,,Sim,ANA_2011_Audiência Pública nº 002/2011_2,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=31,,,,,Fernando Yogi (N/A),PJ,"A contribuição foi justificada como ""não recomendada"" pela Agência, pois estava em branco. Para fins de análise foi considerado ""N/A"".",SABESP (Companhia de Saneamento Básico do Estado de São Paulo),,,Abastecimento público e esgotamento sanitário
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=31,,,,,1,,1.0,Sim,ANA_2011_Audiência Pública nº 002/2011_2,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=31,,,,,Emílio de Souza Santos (N/A),PJ,,CODEVASF (Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba),,,Cia de Desenvolvimento
